,actual_cf_buy_amount,actual_average_buy_price,realized_mtm,cf_sell_quantity,average_price,exchange,sell_quantity,cf_sell_amount,symbol,pro_cli,net_amount_mtm,buy_amount,segment,average_buy_price,sell_amount,average_sell_price,prod_type,cf_buy_amount,close_price,token,net_quantity,actual_cf_sell_amount,previous_close,v_login_id,trading_symbol,actual_average_sell_price,client_id,multiplier,product,cf_buy_quantity,instrument_token,buy_quantity,ltp
0,0.0,0.0,0.0,420,230.35,NFO,0,143241.0,BANKNIFTY,CLIENT,143241.0,0.0,,0.0,0.0,0.0,NRML,0.0,230.35,53155,-420,24482.51,230.35,6DIT02,BANKNIFTY25OCT58000CE,58.2917,6DIT02,1,NRML,0,53155,0,341.05
1,80839.5,192.475,0.0,0,201.5,NFO,0,0.0,BANKNIFTY,CLIENT,-126966.0,0.0,,0.0,0.0,0.0,NRML,126966.0,201.5,53157,420,0.0,201.5,6DIT02,BANKNIFTY25OCT58100CE,0.0,6DIT02,1,NRML,420,53157,0,302.3
2,0.0,0.0,0.0,420,149.6,NFO,0,98511.0,BANKNIFTY,CLIENT,98511.0,0.0,,0.0,0.0,0.0,NRML,0.0,149.6,53177,-420,60362.74,149.6,6DIT02,BANKNIFTY25OCT58300CE,143.7208,6DIT02,1,NRML,0,53177,0,234.55
3,3125.51,7.4417,0.0,0,7.15,NFO,0,0.0,BANKNIFTY,CLIENT,-4830.0,0.0,,0.0,0.0,0.0,NRML,4830.0,7.15,53844,420,0.0,7.15,6DIT02,BANKNIFTY25OCT61000CE,0.0,6DIT02,1,NRML,420,53844,0,11.5
